text,intent,response
hi,greeting,Hello! How are you feeling today?
hello,greeting,Hi there! How’s your health today?
hey,greeting,Hey! Ready to chat about health?
hiya,greeting,Hiya! Hope you’re doing well.
good morning,greeting,Good morning! Did you sleep well?
good evening,greeting,Good evening! How was your day?
hi there,greeting,Hello there! How are you today?
hello! how can I help you today?,greeting,Hello! I can help with health tips, symptoms, or medicines.
hey! ready to talk about health?,greeting,Yes! Let’s talk health. How can I assist?
greetings!,greeting,Greetings! How’s your energy today?
welcome! how are you feeling today?,greeting,Welcome! How are you feeling?
how’s it going?,greeting,It’s going great! How about you?
yo!,greeting,Yo! How are you doing today?
what’s up?,greeting,Not much! How’s your health?
nice to meet you,greeting,Nice to meet you too! How are you?
pleasure to see you,greeting,Pleasure’s mine! How are you today?
hello friend,greeting,Hello friend! How are you doing?
hi buddy,greeting,Hi buddy! Feeling good today?
hi mate,greeting,Hi mate! How’s your day going?
good to see you,greeting,Good to see you too! How’s your health?
hey there!,greeting,Hey there! How are you doing?
long time no see,greeting,Long time no see! How are you?
"hi, how are you?",greeting,I’m good, thank you! How are you feeling?
"hey, how’s everything?",greeting,Everything’s fine! How about you?
good day!,greeting,Good day! How’s your health?
cheers!,greeting,Cheers! How are you today?
hello again,greeting,Hello again! How’s everything going?
hey buddy,greeting,Hey buddy! How are you feeling?
"yo, what’s up?",greeting,Yo! All good here. How about you?
hey pal,greeting,Hey pal! How are you?
"hi, good afternoon",greeting,Good afternoon! How are you feeling?
"hi, good night",greeting,Good night! Take care and rest well.
hey fam,greeting,Hey fam! How’s everyone doing?
"hi there, hope you’re well",greeting,Hi there! Yes, I’m well. Hope you are too.
good morning! how are you today?,greeting,Good morning! I’m doing well, how about you?
hello my friend,greeting,Hello my friend! How’s your day?
"hiya, how’s your day?",greeting,My day’s good! How’s yours?
hey! good to see you,greeting,Good to see you too! How are you?
"hi, how’s life?",greeting,Life’s good! How’s yours?
"hello, how are things?",greeting,Things are good! How about you?
"hey there, how are you doing?",greeting,I’m doing well! How about you?
"yo, how’s everything going?",greeting,Everything’s smooth! How are you?
"hi, nice to see you again",greeting,Nice to see you again! How are you?
"greetings, how are you?",greeting,Greetings! I’m fine, thanks. You?
"hey, how’s your health?",greeting,My health’s good, thanks! How’s yours?
"hi, how are you feeling today?",greeting,I’m feeling good! How about you?
"hello, how’s your mood?",greeting,My mood’s great! How’s yours?
"hey, how’s your energy?",greeting,Energy’s high today! How about yours?
"good morning, hope you slept well",greeting,Good morning! Yes, I did. Did you?
"hi, how’s your day been?",greeting,My day’s been nice! How’s yours?
"yo, how’s your vibe?",greeting,The vibe’s good! How about yours?
hey sunshine!,greeting,Hey sunshine! How are you today?
hi champ!,greeting,Hi champ! How’s your energy?
hello star!,greeting,Hello star! How are you shining today?
"good evening, how’s it going?",greeting,Good evening! It’s going well, you?
"hi mate, how have you been?",greeting,I’ve been good! How about you?
"hey friend, good to see you",greeting,Good to see you too! How are you?
hello! hope you’re having a good day,greeting,Yes! Hope you are too. How are you?
