condition_en,condition_hi,description_en,description_hi,possible_symptom_en,possible_symptom_hi,first_aid_tips_en,first_aid_tips_hi,prevention_tips_en,prevention_tips_hi,disclaimer_en,disclaimer_hi
Headache Relief,सिरदर्द से राहत,Managing headaches with safe medication and lifestyle changes.,सुरक्षित दवाओं और जीवनशैली में बदलाव से सिरदर्द का प्रबंधन।,"Pain in head, sensitivity to light, mild nausea.","सिर में दर्द, रोशनी के प्रति संवेदनशीलता, हल्का मतली।","Rest in a quiet room, drink water, and use paracetamol if needed.","शांत कमरे में आराम करें, पानी पिएं, और आवश्यकता हो तो पैरासिटामोल लें।","Stay hydrated, avoid triggers, and manage stress.","हाइड्रेटेड रहें, ट्रिगर से बचें, और तनाव को नियंत्रित करें।",This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Back Pain Management,पीठ दर्द का प्रबंधन,Approaches to relieve back pain using medication and self-care.,दवाओं और स्वयं देखभाल से पीठ दर्द को कम करने के उपाय।,"Aching or stiffness in the back, limited movement.","पीठ में दर्द या अकड़न, सीमित गति।","Rest, apply ice or heat, and use ibuprofen if needed.","आराम करें, बर्फ या गर्मी लगाएं, और आवश्यकता हो तो आइबुप्रोफेन लें।",Maintain good posture and exercise regularly.,अच्छा पोस्चर बनाए रखें और नियमित रूप से व्यायाम करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Fever Control,बुखार नियंत्रण,Reducing fever safely with medication and home care.,दवाओं और घरेलू देखभाल से सुरक्षित रूप से बुखार को कम करना।,"High temperature, chills, sweating.","तेज बुखार, ठंड लगना, पसीना आना।","Rest, drink fluids, and use paracetamol if needed.","आराम करें, तरल पदार्थ पिएं, और आवश्यकता हो तो पैरासिटामोल लें।",Practice good hygiene and avoid sick contacts.,अच्छी स्वच्छता बनाए रखें और बीमार लोगों से संपर्क से बचें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Allergy Relief,एलर्जी से राहत,Managing allergy symptoms with antihistamines and avoidance.,एंटीहिस्टामाइन और परहेज से एलर्जी के लक्षणों का प्रबंधन।,"Sneezing, runny nose, itchy eyes.","छींक आना, बहती नाक, खुजली वाली आंखें।",Use antihistamines and avoid known allergens.,एंटीहिस्टामाइन का उपयोग करें और ज्ञात एलर्जी कारकों से बचें।,Keep environment clean and avoid triggers.,पर्यावरण को साफ रखें और ट्रिगर से बचें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Sore Throat Care,गले में खराश की देखभाल,Treating sore throat with home remedies and medication.,घरेलू उपायों और दवाओं से गले की खराश का इलाज।,"Pain when swallowing, scratchy throat.","निगलते समय दर्द, खराश वाला गला।","Gargle with warm salt water, drink warm fluids, use lozenges.","गर्म नमक पानी से गरारे करें, गर्म तरल पदार्थ पिएं, लोजेंज का उपयोग करें।",Wash hands frequently and avoid close contact with sick people.,हाथों को बार-बार धोएं और बीमार लोगों के निकट संपर्क से बचें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Diabetes Symptoms,मधुमेह के लक्षण,Recognizing early signs of diabetes.,मधुमेह के प्रारंभिक लक्षणों को पहचानना।,"Frequent urination, excessive thirst, unexplained weight loss.","बार-बार पेशाब आना, अत्यधिक प्यास लगना, बिना कारण वजन घटना।",Monitor blood sugar and seek medical advice if symptoms appear.,ब्लड शुगर की निगरानी करें और लक्षण दिखने पर चिकित्सीय सलाह लें।,Maintain a healthy diet and regular exercise.,स्वस्थ आहार और नियमित व्यायाम बनाए रखें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Flu Symptoms,फ्लू के लक्षण,Identifying symptoms of influenza (flu).,इन्फ्लुएंजा (फ्लू) के लक्षणों की पहचान।,"Fever, chills, body aches, cough.","बुखार, ठंड लगना, शरीर में दर्द, खांसी।","Rest, drink fluids, and use fever reducers if needed.","आराम करें, तरल पदार्थ पिएं, और आवश्यकता हो तो बुखार कम करने वाली दवाएं लें।",Get vaccinated and practice good hygiene.,टीका लगवाएं और अच्छी स्वच्छता अपनाएं।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Asthma Warning Signs,अस्थमा के चेतावनी संकेत,Early symptoms of asthma and when to seek help.,अस्थमा के प्रारंभिक लक्षण और सहायता कब लेनी चाहिए।,"Wheezing, shortness of breath, chest tightness.","सीटी जैसी आवाज़, सांस की कमी, सीने में जकड़न।",Use prescribed inhaler and seek medical help if symptoms worsen.,निर्धारित इनहेलर का उपयोग करें और लक्षण बिगड़ने पर चिकित्सीय सहायता लें।,Avoid triggers and follow asthma action plan.,ट्रिगर से बचें और अस्थमा एक्शन प्लान का पालन करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Dengue Fever Signs,डेंगू बुखार के लक्षण,Recognizing symptoms of dengue fever.,डेंगू बुखार के लक्षणों की पहचान।,"High fever, severe headache, joint pain, rash.","तेज बुखार, तेज सिरदर्द, जोड़ों में दर्द, चकत्ते।","Rest, drink fluids, and seek medical attention if severe.","आराम करें, तरल पदार्थ पिएं, और गंभीर होने पर चिकित्सीय सहायता लें।",Avoid mosquito bites and eliminate standing water.,मच्छरों के काटने से बचें और रुके हुए पानी को हटाएं।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Anemia Symptoms,एनीमिया के लक्षण,Common signs of anemia and when to consult a doctor.,एनीमिया के सामान्य लक्षण और डॉक्टर से कब परामर्श लें।,"Fatigue, weakness, pale skin, dizziness.","थकान, कमजोरी, पीली त्वचा, चक्कर आना।",Eat iron-rich foods and consult a doctor for diagnosis.,आयरन युक्त खाद्य पदार्थ खाएं और निदान के लिए डॉक्टर से परामर्श लें।,Maintain a balanced diet with adequate iron.,पर्याप्त आयरन के साथ संतुलित आहार बनाए रखें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Sprained Ankle,मचली हुई टखने,Care for a sprained ankle using the RICE method.,RICE विधि का उपयोग करके मचली हुई टखने की देखभाल करें।,"Swelling, pain, difficulty walking.","सूजन, दर्द, चलने में कठिनाई।","Rest, ice, compress, and elevate the ankle.","आराम करें, बर्फ लगाएं, दबाव दें और टखने को ऊपर उठाएं।",Wear supportive footwear and avoid uneven surfaces.,सहायक जूते पहनें और असमान सतहों से बचें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
